19 | Q4
19 Q4 Q16 C4 D17 C15 E4 H4 D7 E5 F5 E6 D4 C6 C3 C5 F6 E7 | B3
19 Q4 Q16 C4 D17 C15 E4 H4 E7 | C6
19 Q4 Q16 C4 D17 C15 E4 E5 | C3
19 Q4 Q16 C4 D17 C15 E4 E5 C3 | D4
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 | D3
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 D3 | G4
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 D3 G4 | E3
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 D3 G4 E3 | F5
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 D3 G4 E3 F5 | D5
19 Q4 Q16 C4 D17 C15 E4 E5 C3 D4 D3 G4 E3 F5 D5 | B4
19 Q4 Q16 C4 D17 C15 E4 E5 F5 | D5
19 Q4 Q16 C4 D17 C15 E4 G3 | C3
19 Q4 Q16 C4 D17 C15 E4 D6 | C3
19 Q4 Q16 C4 D17 C15 E4 D6 C3 | B3
19 Q4 Q16 C4 D17 C15 E16 | C11
19 Q4 Q16 C4 D17 C15 E16 C11 | F3
19 Q4 Q16 C4 D17 C15 E16 C11 F3 | D3
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 | J3
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 | L3
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 L3 | F5
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 L3 F5 | G4
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 L3 F5 G4 | F4
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 L3 F5 G4 F4 | D7
19 Q4 Q16 C4 D17 C15 E16 C11 F3 D3 J3 L3 F5 G4 F4 D7 | J5
19 Q4 Q16 C4 D17 C15 E16 E3 | C12
19 Q4 Q16 C4 D17 C15 E16 J3 | C11
19 Q4 Q16 C4 D17 C15 E16 C12 | F3
19 Q4 Q16 C4 D17 C15 E16 C12 F3 | D3
19 Q4 Q16 C4 D17 C15 E16 C12 F3 D3 | J3
19 Q4 Q16 C4 D17 C15 E16 C12 F3 D3 J3 | L3
19 Q4 Q16 C4 D17 C15 D12 | F15
19 Q4 Q16 C4 D17 C15 D12 F15 | F17
19 Q4 Q16 C4 D17 C15 D12 F15 F17 | E16
19 Q4 Q16 C4 D17 C15 D12 F15 F17 E16 | E17
19 Q4 Q16 C4 D17 C15 D12 F15 F17 E16 E17 | D9
19 Q4 Q16 C4 D17 C15 D12 F15 F17 E16 E17 D9 | G12
19 Q4 Q16 C4 D17 C15 D12 F15 F17 E16 E17 D9 G12 | H15
19 Q4 Q16 C4 D17 C15 D11 | F15
19 Q4 Q16 C4 D17 C15 F4 | E3
19 Q4 Q16 C4 D17 C15 F4 E3 | K3
19 Q4 Q16 C4 D17 C15 O3 | M3
19 Q4 Q16 C4 D17 C15 O3 M3 | F3
19 Q4 Q16 C4 D17 C15 F16 | C11
19 Q4 Q16 C4 D17 D15 | C15
19 Q4 Q16 C4 D17 D15 C15 | C14
19 Q4 Q16 C4 D17 D15 C15 C14 | C16
19 Q4 Q16 C4 D17 D15 C15 C14 C16 | D14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 | F17
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 | D10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 | F3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 | E4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 | D2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 | H3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 H3 | F4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 H3 F4 | C2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 H3 F4 C2 | E5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 H3 F4 C2 E5 | D3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 | G3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 G3 | J4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 G3 J4 | G4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 G3 J4 G4 | G5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 G3 J4 G4 G5 | J2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 F4 G3 J4 G4 G5 J2 | H4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 E4 D2 H4 | F4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 D3 | J3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 D3 J3 | L3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F3 D3 J3 L3 | F5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F4 | E3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D10 F4 E3 | K3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 | C17
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 | C10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 C10 | F3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 C10 O3 | M3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 | F3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 | E4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 | D2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 | H3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 | F4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 | E3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 | E2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 | C3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 C3 | G2
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 | F5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 | H4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 | G5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 C17 D10 F3 E4 D2 H3 F4 E3 E2 C3 G2 F5 H4 G5 | J4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 E16 | C17
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 E16 C17 | B17
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 E16 C17 B17 | C18
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 E16 C17 B17 C18 | B18
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 D16 E16 C17 B17 C18 B18 | B14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 J4 | D10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 J4 D10 | D8
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 J4 D10 D8 | F10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 F17 J4 D10 D8 F10 | G14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D14 E16 | D10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 | E14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 | E13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 | B14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 | B13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 | D14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 | C13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 | F14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 | G13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 | G14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 | H14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 | F13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 | F12
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 | H15
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 | J14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 | G12
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 | H13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 | F11
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 | E12
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 | H16
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 | K16
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 | E4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 | E5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 | F5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 | E6
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 E6 | D4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 E6 D4 | C5
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 E6 D4 C5 | J4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 E6 D4 C5 J4 | C3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 E13 B14 B13 D14 C13 F14 G13 G14 H14 F13 F12 H15 J14 G12 H13 F11 E12 H16 K16 E4 E5 F5 E6 D4 C5 J4 C3 | O3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 D14 | F17
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 D14 E16 | C9
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 D14 E16 C9 | F3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 E14 D14 E16 C9 F3 | H4
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 F17 | D10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 F17 D10 | F3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 F17 D10 F3 | D3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 F17 D10 F3 D3 | J3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 D13 F17 D10 F3 D3 J3 | L3
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 | D14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 | C13
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 C13 | E14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 C13 E14 | C10
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 C13 E14 C10 | K16
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 C13 E14 C10 K16 | R14
19 Q4 Q16 C4 D17 D15 C15 C14 C16 J3 D14 C13 E14 C10 K16 R14 | O16
19 Q4 Q16 C4 D17 D15 C15 C14 C16 R14 | R12
19 Q4 Q16 C4 D17 D15 C15 D14 | C14
19 Q4 Q16 C4 D17 D15 C15 D14 C14 | D16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 | C16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 | E17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 | C13
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 | O17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 | R14
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 | Q18
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 | R17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 | D18
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 | C17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 | L17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 | E3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 | K3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 | H3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 | D3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 | E4
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 | C6
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 | G17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 | F16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 | K16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 | K17
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 | J16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 | L16
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 | K14
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 | L15
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 | H13
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 | E12
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 E12 | O3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 E12 O3 | Q6
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 E12 O3 Q6 | Q2
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 E12 O3 Q6 Q2 | R3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 K3 H3 D3 E4 C6 G17 F16 K16 K17 J16 L16 K14 L15 H13 E12 O3 Q6 Q2 R3 | M3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 J3 | D5
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 J3 D5 | C5
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 D18 C17 L17 E3 J3 D5 C5 | D6
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 L17 | E3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 L17 E3 | K3
19 Q4 Q16 C4 D17 D15 C15 D14 C14 D16 C16 E17 C13 O17 R14 Q18 R17 L17 E3 K3 | H3
19 Q4 Q16 C4 D17 D15 C15 D14 C16 | J3
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 | C13
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 C13 | R6
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 D7 | D9
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 D7 D9 | E5
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 D7 D9 E5 | E3
19 Q4 Q16 C4 D17 D15 C15 D14 C16 J3 D7 D9 E5 E3 | C13
19 Q4 Q16 C4 D17 D15 C15 D16 | C16
19 Q4 Q16 C4 D17 D15 C15 D16 C16 | E17
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 | C17
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 | D14
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 | C13
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 C13 | O17
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 C13 O17 | R14
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 C13 O17 R14 | Q18
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 C13 O17 R14 Q18 | R17
19 Q4 Q16 C4 D17 D15 C15 D16 C16 E17 C17 D14 C13 O17 R14 Q18 R17 | L17
19 Q4 Q16 C4 D17 D15 E4 | E5
19 Q4 Q16 C4 D17 D15 E4 E5 | C3
19 Q4 Q16 C4 D17 D15 E4 E5 C3 | D4
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 | D3
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 | F5
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 F5 | F3
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 F5 F3 | H4
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 F5 F3 H4 | H2
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 F5 F3 H4 H2 | B5
19 Q4 Q16 C4 D17 D15 E4 E5 C3 D4 D3 F5 F3 H4 H2 B5 | C13
19 Q4 Q16 C4 D17 D15 E4 E5 F5 | D5
19 Q4 Q16 C4 D17 D15 E4 E5 F5 D5 | G4
19 Q4 Q16 C4 D17 D15 E4 E5 F5 D5 G4 | C17
19 Q4 Q16 C4 D17 D15 E4 E3 | F3
19 Q4 Q16 C4 D17 D15 E4 E3 F3 | D3
19 Q4 Q16 C4 D17 D15 E4 E3 F3 D3 | F4
19 Q4 Q16 C4 D17 D15 E4 E3 F3 D3 F4 | C6
19 Q4 Q16 C4 D17 D15 E4 E3 F3 D3 F4 C6 | K4
19 Q4 Q16 C4 D17 D15 E4 H4 | D8
19 Q4 Q16 C4 D17 D15 E4 H4 D8 | E5
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 | F5
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 | E6
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 | D4
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 | C5
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 C5 | C3
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 C5 C3 | C7
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 C5 C3 C7 | F6
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 C5 C3 C7 F6 | F7
19 Q4 Q16 C4 D17 D15 E4 H4 D8 E5 F5 E6 D4 C5 C3 C7 F6 F7 | H5
19 Q4 Q16 C4 D17 D15 E4 H4 E6 | C6
19 Q4 Q16 C4 D17 D15 E4 H4 E6 C6 | E8
19 Q4 Q16 C4 D17 D15 E4 G4 | E6
19 Q4 Q16 C4 D17 D15 E4 G4 E6 | C7
19 Q4 Q16 C4 D17 D15 E4 D6 | C3
19 Q4 Q16 C4 D17 D15 E4 D6 C3 | B3
19 Q4 Q16 C4 D17 D15 E3 | G4
19 Q4 Q16 C4 D17 D15 E3 G4 | D9
19 Q4 Q16 C4 D17 D15 E3 G4 D9 | E4
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 | D12
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 | G16
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 | E15
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 | E14
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 | F15
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 | D16
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 | F17
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 | C17
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 | E17
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 | F14
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 | G15
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 | C18
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 | D14
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 | D13
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 | C14
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 | C13
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 | B15
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 | C15
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 C15 | B14
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 C15 B14 | B13
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 C15 B14 B13 | B16
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 C15 B14 B13 B16 | C16
19 Q4 Q16 C4 D17 D15 E3 G4 D9 E4 D12 G16 E15 E14 F15 D16 F17 C17 E17 F14 G15 C18 D14 D13 C14 C13 B15 C15 B14 B13 B16 C16 | E13
